Well,Row,Column,Category,Replicate_Number,Replicate_Label,Concentration_Value,Concentration_Units,Plate_Format,Dilution_Direction,Replicate_Start_Position,Number_of_Dilutions,Number_of_Replicates,Highest_Concentration,Export_Date,Export_Time
A1,A,1,Broth Only,NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
B1,B,1,Broth Only,NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
C1,C,1,Broth Only,NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
D1,D,1,Broth Only,NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
E1,E,1,Broth Only,NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
F1,F,1,Broth Only,NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
G1,G,1,Broth Only,NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
H1,H,1,Broth Only,NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
A2,A,2,Experiment,1,Rep 1,250,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
B2,B,2,Experiment,1,Rep 1,125,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
C2,C,2,Experiment,1,Rep 1,62.5,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
D2,D,2,Experiment,1,Rep 1,31.25,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
E2,E,2,Experiment,1,Rep 1,15.625,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
F2,F,2,Experiment,1,Rep 1,7.812,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
G2,G,2,Experiment,1,Rep 1,3.906,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
H2,H,2,Experiment,1,Rep 1,1.953,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
A3,A,3,Experiment,2,Rep 2,250,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
B3,B,3,Experiment,2,Rep 2,125,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
C3,C,3,Experiment,2,Rep 2,62.5,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
D3,D,3,Experiment,2,Rep 2,31.25,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
E3,E,3,Experiment,2,Rep 2,15.625,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
F3,F,3,Experiment,2,Rep 2,7.812,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
G3,G,3,Experiment,2,Rep 2,3.906,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
H3,H,3,Experiment,2,Rep 2,1.953,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
A4,A,4,Experiment,3,Rep 3,250,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
B4,B,4,Experiment,3,Rep 3,125,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
C4,C,4,Experiment,3,Rep 3,62.5,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
D4,D,4,Experiment,3,Rep 3,31.25,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
E4,E,4,Experiment,3,Rep 3,15.625,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
F4,F,4,Experiment,3,Rep 3,7.812,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
G4,G,4,Experiment,3,Rep 3,3.906,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
H4,H,4,Experiment,3,Rep 3,1.953,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
A5,A,5,Experiment,4,Rep 4,250,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
B5,B,5,Experiment,4,Rep 4,125,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
C5,C,5,Experiment,4,Rep 4,62.5,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
D5,D,5,Experiment,4,Rep 4,31.25,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
E5,E,5,Experiment,4,Rep 4,15.625,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
F5,F,5,Experiment,4,Rep 4,7.812,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
G5,G,5,Experiment,4,Rep 4,3.906,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
H5,H,5,Experiment,4,Rep 4,1.953,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
A6,A,6,Experiment,5,Rep 5,250,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
B6,B,6,Experiment,5,Rep 5,125,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
C6,C,6,Experiment,5,Rep 5,62.5,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
D6,D,6,Experiment,5,Rep 5,31.25,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
E6,E,6,Experiment,5,Rep 5,15.625,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
F6,F,6,Experiment,5,Rep 5,7.812,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
G6,G,6,Experiment,5,Rep 5,3.906,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
H6,H,6,Experiment,5,Rep 5,1.953,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
A7,A,7,Material Control (NP Only),NA,NA,250,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
B7,B,7,Material Control (NP Only),NA,NA,125,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
C7,C,7,Material Control (NP Only),NA,NA,62.5,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
D7,D,7,Material Control (NP Only),NA,NA,31.25,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
E7,E,7,Material Control (NP Only),NA,NA,15.625,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
F7,F,7,Material Control (NP Only),NA,NA,7.812,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
G7,G,7,Material Control (NP Only),NA,NA,3.906,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
H7,H,7,Material Control (NP Only),NA,NA,1.953,µg/mL,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
A8,A,8,Positive Control (Untreated Bacteria),NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
B8,B,8,Positive Control (Untreated Bacteria),NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
C8,C,8,Positive Control (Untreated Bacteria),NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
D8,D,8,Positive Control (Untreated Bacteria),NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
E8,E,8,Positive Control (Untreated Bacteria),NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
F8,F,8,Positive Control (Untreated Bacteria),NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
G8,G,8,Positive Control (Untreated Bacteria),NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
H8,H,8,Positive Control (Untreated Bacteria),NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
A9,A,9,Positive Control (Untreated Bacteria),NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
B9,B,9,Positive Control (Untreated Bacteria),NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
C9,C,9,Positive Control (Untreated Bacteria),NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
D9,D,9,Positive Control (Untreated Bacteria),NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
E9,E,9,Positive Control (Untreated Bacteria),NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
F9,F,9,Positive Control (Untreated Bacteria),NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
G9,G,9,Positive Control (Untreated Bacteria),NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
H9,H,9,Positive Control (Untreated Bacteria),NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
A10,A,10,Positive Control (Untreated Bacteria),NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
B10,B,10,Positive Control (Untreated Bacteria),NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
C10,C,10,Positive Control (Untreated Bacteria),NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
D10,D,10,Positive Control (Untreated Bacteria),NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
E10,E,10,Positive Control (Untreated Bacteria),NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
F10,F,10,Positive Control (Untreated Bacteria),NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
G10,G,10,Positive Control (Untreated Bacteria),NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
H10,H,10,Positive Control (Untreated Bacteria),NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
A11,A,11,Positive Control (Untreated Bacteria),NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
B11,B,11,Blank,NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
C11,C,11,Blank,NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
D11,D,11,Blank,NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
E11,E,11,Blank,NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
F11,F,11,Blank,NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
G11,G,11,Blank,NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
H11,H,11,Blank,NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
A12,A,12,Half Broth,NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
B12,B,12,Half Broth,NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
C12,C,12,Half Broth,NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
D12,D,12,Half Broth,NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
E12,E,12,Half Broth,NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
F12,F,12,Half Broth,NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
G12,G,12,Half Broth,NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
H12,H,12,Half Broth,NA,NA,NA,NA,96,vertical,2,8,5,250,2025-09-15,2025-09-15T21:45:56Z
